Trial,N,structure_instance_num,structure,num_X_vars,g,g_level,randomize_update_seq,b_distro,b_0_is_zero,normalize_bs,error_variance,normalize_yis,uninformed_rate,g_rate,MA_R2_Adj__t_100,MA-p_value__t_100,Outliers_Dropped__t_100,Max_Y__100,Max_Corr_Y__100,Classification__t_100,MA_R2_Adj__t_250,MA-p_value__t_250,Outliers_Dropped__t_250,Max_Y__250,Max_Corr_Y__250,Classification__t_250,MA_R2_Adj__t_500,MA-p_value__t_500,Outliers_Dropped__t_500,Max_Y__500,Max_Corr_Y__500,Classification__t_500
78,100,6,Erdos-Renyi Random #2b,41,100,N,True,U01,False,agent,0.5,False,0.1,1.0,0.9482280000000001,1.0,6.0,145.748,0.930918,Linear,0.954514,1.0,2.0,166.21599999999998,0.949757,Linear,0.9643079999999999,1.0,0.0,161.435,0.9600549999999999,Linear
79,100,8,Scale-Free #1b,6,1,1,True,U-11,False,agent,0.5,False,0.25,0.01,0.9930120000000001,1.0,48.0,7.18649e+34,0.537767,Linear,1.0,1.0,49.0,1.5307900000000002e+86,-0.0,Invalid,,0.0,46.0,4.6507300000000016e+173,,Invalid
80,500,2,Directed Random Tree (Reversed),1,5,5,True,U01,False,network,0.5,True,0.0,0.01,0.13270099999999999,1.0,0.0,26.7868,0.5013,Not Linear,0.121076,1.0,2.0,23.8154,0.37067,Not Linear,0.121601,1.0,0.0,21.0139,0.09530880000000001,Not Linear
81,500,9,Scale-Free #2a,5,125,N/4,False,U-11,True,agent,1.0,True,0.1,0.25,0.435625,1.0,12.0,500.776,0.569337,Not Linear,0.49805600000000005,1.0,15.0,406.255,0.757958,Not Linear,0.461261,1.0,16.0,478.649,0.790177,Not Linear
82,500,7,Scale-Free #1a,12,500,N,False,U-11,True,agent,0.5,True,0.1,1.0,0.39674499999999996,1.0,15.0,830.529,0.567896,Not Linear,0.380813,1.0,15.0,798.816,0.601625,Not Linear,0.327054,1.0,20.0,823.929,0.314789,Not Linear
83,100,8,Scale-Free #1b,6,5,5,False,U-11,True,network,0.5,True,0.1,0.05,0.0867165,1.0,7.0,11.8838,0.334507,Not Linear,0.06070740000000001,1.0,7.0,15.2604,0.22372399999999998,Not Linear,0.044819300000000006,1.0,6.0,14.4515,0.24920799999999999,Not Linear
84,500,2,Directed Random Tree (Reversed),1,5,5,False,N01,True,network,0.5,True,0.25,0.01,0.103503,1.0,1.0,31.6072,0.310224,Not Linear,0.136383,1.0,2.0,27.8468,0.441993,Not Linear,0.15524200000000002,1.0,1.0,23.0434,0.447089,Not Linear
85,500,13,Random k-out (k=10) #a,10,125,N/4,True,N01,True,network,0.5,True,0.25,0.25,0.595485,1.0,3.0,29.2536,0.43492700000000006,Linear,0.496515,1.0,2.0,32.6097,0.124945,Not Linear,0.587368,1.0,2.0,22.4078,0.358687,Linear
86,100,6,Erdos-Renyi Random #2b,41,25,N/4,True,U-11,True,network,0.5,False,0.1,0.25,0.299655,1.0,8.0,11.4434,0.436547,Not Linear,0.382774,1.0,7.0,16.2275,0.526824,Not Linear,0.395638,1.0,9.0,13.425999999999998,0.39516599999999996,Not Linear
87,500,10,Scale-Free #2b,7,1,1,True,U-11,True,agent,0.5,False,0.1,0.002,0.6407229999999999,1.0,4.0,4778.93,0.741188,Linear,0.675254,1.0,6.0,4940.9,0.664462,Linear,0.699893,1.0,8.0,8307.72,0.864757,Linear
88,500,6,Erdos-Renyi Random #2b,99,5,5,True,U-11,True,agent,0.5,True,0.1,0.01,,0.0,28.0,20588.9,0.320394,Invalid,,0.0,27.0,39039.9,0.341609,Invalid,,0.0,22.0,38791.5,0.422645,Invalid
89,500,10,Scale-Free #2b,7,125,N/4,False,U-11,True,network,1.0,True,0.1,0.25,0.0275401,0.0,3.0,52.1215,0.11076099999999998,Not Linear,-0.000378597,0.0,2.0,65.0156,0.231213,Not Linear,0.06068919999999999,1.0,2.0,55.3413,0.328244,Not Linear
